city,Total_Jobs
Bengaluru,247
Mumbai,149
Gurugram,91
Pune,65
Hyderabad,56
Chennai,42
Delhi,41
Unknown,40
Noida,31
Kolkata,20
Ahmedabad,18
Jaipur,10
Indore,8
Vadodara,7
Kochi,6
Goa,5
Surat,4
Nagpur,4
Rajkot,4
Chandigarh,4
Lucknow,3
Nashik,3
Madurai,2
Jalandhar,2
Gorakhpur,2
Ghaziabad,2
Coimbatore,2
Jodhpur,2
Mysuru,2
Thiruvananthapuram,2
Atmakur,1
Bhiwadi,1
Bareilly,1
Ambala,1
Bhopal,1
Agra,1
Hubli,1
Hooghly,1
Halol,1
Gujarat,1
Greater Coimbatore Area,1
Greater Hyderabad Area,1
Dehradun,1
Greater Chennai Area,1
Faridabad,1
Gautam Buddha Nagar,1
Bhilwara,1
Bhubaneshwar,1
Chakan,1
Bulandshahr,1
Bhuj,1
Dadri,1
Bambolim,1
Bangalore Urban district,1
Baddi,1
Kotwali,1
Ludhiana,1
Maharashtra,1
Malad,1
Mahbubnagar,1
Mysore,1
Muzaffarpur,1
Kerala,1
Kosi,1
Jamnagar,1
Kalyan,1
Jamshedpur,1
Jharkhand,1
Panaji,1
Ooty,1
Okhla,1
Nanded,1
Mathura,1
Meerut,1
Peerancheru,1
Panchkula,1
Rajendra Place,1
Ramanagar,1
Reasi,1
Rohini,1
Porbandar,1
Puducherry,1
Raipur,1
Panipat,1
Saraswati Vihar,1
Sanand,1
Sahibzada Ajit Singh Nagar,1
Saharanpur,1
Tamil Nadu,1
Siliguri,1
Udupi,1
Secunderābād,1
Uttar Pradesh,1
Vapi,1
Varanasi,1
Vijayawada,1
Virar,1
Visakhapatnam,1
Vishakhapatnam,1
West Delhi,1
