companyName,Total_Jobs,Avg_Applications
.efficiently,1,200.0
10times,1,200.0
56 Secure,1,200.0
66degrees,1,25.0
7-Eleven,1,200.0
99Games,1,135.0
A.P. Moller - Maersk,1,155.0
AB InBev GCC India,1,39.0
AKMV Consultants,1,25.0
ALL - Accor Live Limitless,3,80.0
AVPN,1,200.0
AXISCADES,1,152.0
Able Design and Manufacturing Pvt Ltd,4,52.5
Acko,1,200.0
Acme Services,6,83.33333333333333
Actualize,1,91.0
Acuity Knowledge Partners,1,200.0
AdEngage,2,25.0
Adani Digital Labs,1,200.0
Adform,1,200.0
Adidev Herbals,1,25.0
Aditya Birla Capital,11,25.0
Aditya Birla Fashion and Retail Ltd.,3,192.66666666666666
Aditya Birla Group,1,200.0
Aftershoot,1,113.0
Agilité,1,200.0
Aimlay,1,200.0
Airtel Digital,1,200.0
Allstarconsulting1,1,25.0
AlphaSense,1,200.0
Altorise,1,200.0
Amazon,5,128.4
Amber,2,132.5
Ample Leap,1,49.0
Amplifi Capital,1,200.0
Analytics Jobs,1,25.0
Angel Recruitment,1,25.0
Antal International,3,178.0
Applied Graphics Technologies,1,25.0
Applied Materials India,1,200.0
Arcadis,2,29.5
Artha Venture Fund,1,60.0
Artista Group,1,57.0
Artivatic.ai,1,95.0
Ascendion,3,145.66666666666666
Associated Broadcasting Co. Pvt Ltd (TV9),1,111.0
Ather Energy,2,200.0
Aurum Equity Partners LLP,1,87.0
Avian WE,1,68.0
B3 - BRAIN BEHIND BRAND,1,25.0
BLKBOX.ai,1,198.0
BOX8,2,82.5
Bacardi,1,98.0
Bajo Foods,1,200.0
Barcode Entertainment : Strategic Brand Solutions,1,200.0
Benchmark Global Management Services,2,77.5
Bennett Coleman & Co. Ltd. (The Times of India),1,200.0
Bent Chair,1,28.0
BharatPe,1,200.0
BharatX,1,200.0
Biodeal Pharmaceuticals Limited,1,115.0
Black Diamond Capital Management,1,200.0
BlackRock,1,122.0
Bloom Energy,1,200.0
BluCrest Capital Advisors Private Limited,1,62.0
Blue Horizons Strategic Engineering Pvt Ltd,2,95.0
Boston Consulting Group (BCG),1,200.0
Bottomline,1,200.0
Braintrust,1,200.0
Brandope,1,65.0
Bread Financial,1,25.0
Britannia Industries Limited,4,78.25
BuildBear Labs,1,200.0
Bureau,1,30.0
Business View Asia C/O 1st Clicks,1,55.0
CIEL HR,4,119.5
CN Solutions,1,143.0
Cabot Corporation,1,37.0
Calsoft,1,68.0
Candere By Kalyan Jewellers,1,25.0
Capgemini,3,89.0
CarUdyog,1,200.0
Career Kendra,1,29.0
CareerNinja | LearnTube,1,26.0
Careerfit.ai,1,25.0
Careernet,1,84.0
Carnera Technologies Inc.,1,25.0
Carnot Technologies,1,51.0
Carrier,2,28.0
Christian Louboutin,1,77.0
Cibirix Inc.,1,80.0
Clerk-Tech,1,200.0
Cloud Counselage Pvt. Ltd.,1,25.0
Cockroach Labs,1,200.0
Coforge,3,200.0
Colgate-Palmolive,1,200.0
Collabera,1,200.0
Colliers,1,200.0
Collins Aerospace,1,200.0
Communication Crafts,1,52.0
Comviva,2,175.5
Concentrix,1,200.0
Condé Nast,1,200.0
Confluent,1,200.0
Conneqt Digital,1,55.0
Conviva,1,200.0
Corpository - A Yubi Company,1,200.0
Cotocus,1,89.0
Courtyard by Marriott,1,190.0
Creative Synergies Group,1,200.0
Creativefuel,1,25.0
Crescendo Global,1,176.0
Crompton Greaves Consumer Electricals Limited,1,183.0
Crunchy Fashion Private Limited,1,25.0
Cvent,1,25.0
Cyringe DigiMedia,1,90.0
Cytrion Software Solutions Pvt Ltd,1,26.0
DATAECONOMY,1,25.0
"DC Consultants(India,USA,Australia,GCC)",1,25.0
DC Department of Human Resources,1,25.0
DFM Foods Limited,1,200.0
DIAGEO India,2,51.0
DOHA BANK,2,200.0
DViO Digital,1,28.0
Deel,1,126.0
Delhivery,1,126.0
Denave,1,74.0
Dentsu Creative,1,98.0
Design Arc Interiors,1,141.0
Dhanvesttor,1,132.0
Dimensions HRD Consultants,2,106.5
Discover Financial Services,1,31.0
Discovered MENA,1,71.0
Disney+ Hotstar,1,25.0
"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",11,144.0909090909091
EXL,1,200.0
EY,3,78.66666666666667
EarnYoung,1,199.0
EaseMyTrip.com,1,30.0
Eaton,3,200.0
Eazy ERP Technologies Pvt Ltd,6,25.833333333333332
Ed Explorars,1,25.0
Eleven Inc - Integrated Marketing Communications,1,27.0
Elite Foods Pvt. Ltd.,1,25.0
Elysium Capital,1,200.0
Emerson,1,114.0
Endeavor,2,135.5
Ental,1,25.0
"Envipro Engineering Pvt Ltd (Envipro, Pune)",1,200.0
Epsilon India,1,79.0
EqualizeRCM,1,85.0
Equifax,1,28.0
Eram Talent,2,160.0
Eventbrite,1,200.0
Everbest Job Placement,1,28.0
EvolveMinds-A Talent Agency,1,25.0
Experian,2,200.0
FPL Tata,1,143.0
FRND,1,200.0
FXDX,1,200.0
FashionTV India,1,34.0
Ferrero,1,40.0
Fi,1,200.0
Fictiv,1,124.0
FinLender,1,111.0
Fire Bee Techno Services Pvt Ltd,1,150.0
First American (India),1,62.0
"First Brands Group, LLC",1,164.0
FirstCry.com (BrainBees Solutions Pvt. Ltd.),4,29.5
Flags Communications Pvt. Ltd.,1,25.0
Flair Labs,1,200.0
Flex,1,200.0
Flipkart,1,200.0
Fluence,1,200.0
Flutch,1,103.0
Forbes Advisor,1,200.0
Forsta,1,200.0
Fortanix,1,200.0
Fortune Business Insights™,1,44.0
Freshworks,17,148.76470588235293
Furrl,1,200.0
Fusemachines,1,33.0
Fusion Plus Solutions Inc,1,200.0
Future Market Insights,1,104.0
GE Aerospace,1,200.0
GEP Worldwide,1,200.0
GIVA,2,167.0
GM Infotech,3,141.66666666666666
GSK,2,90.5
GVR BUSINESS TRANSFORMS,2,88.0
GVR TECHNOLABS PRIVATE LIMITED,2,80.0
Games24x7,1,200.0
GenY Medium,1,56.0
Genesys,1,200.0
Genpact,5,165.4
Getinge,1,131.0
GiftBoxes.store,1,200.0
Gilbarco Veeder-Root,1,57.0
Global AI Show,3,67.0
Global Blockchain Show,2,53.5
Godrej Group,1,200.0
Gogoro,1,152.0
Goldman Sachs,1,35.0
Google,12,130.16666666666666
Gracia Marcom,1,25.0
Grand Hyatt Mumbai,1,200.0
Graphy Inc.,1,171.0
GreenTree Advisory Services Pvt Ltd,1,105.0
Greenroom Now,1,60.0
GrowthSchool,1,25.0
Groww,1,52.0
Guardant Health,1,179.0
H2O.ai,1,107.0
HCLTech,3,200.0
HCapital Technologies Private Limited,1,200.0
HOK BEAUTY PRIVATE LIMITED,2,74.5
HONOUR,1,25.0
HTC Global Services,1,200.0
Haldiram Foods International Ltd,1,29.0
Halma plc,1,57.0
Hashone Careers,1,37.0
Havas Life Sorento,1,26.0
Healofy,2,200.0
Her Second Innings,3,32.0
Herbalife International India Pvt. Ltd.,1,44.0
Hike,1,200.0
Hindustan Colas Private Limited,1,54.0
Hindustan Recruitment,2,25.0
Hirefaast,1,25.0
HiveMinds,2,25.0
Homesfy Realty Ltd,3,25.0
Honeywell,3,57.0
Houseware,1,200.0
Hunt&Badge Consulting Pvt Ltd (A Hudson RPO Company),1,36.0
Hyperbola,1,25.0
Hypersonix Inc.,1,200.0
IBM,5,54.8
IMTS Institute,1,25.0
INDmoney,1,67.0
IQVIA,2,200.0
ImpactGuru,1,57.0
Impetus,2,176.0
InCred Global Wealth Limited,1,62.0
Indovance Inc.,1,200.0
Indus Valley Partners,1,117.0
IndusInd Bank,3,200.0
Inferigence Quotient,1,25.0
InfiHire,1,200.0
Infinitalent Consulting Pvt ltd,1,200.0
Infinite Computer Solutions,1,25.0
Infiniti Research Ltd.,3,124.33333333333333
InfoVision Inc.,1,109.0
Infosys,7,176.28571428571428
Infosys Finacle,1,200.0
InnoWave,1,79.0
Innovaccer,1,60.0
InstaAstro,1,25.0
InsuranceDekho,1,28.0
Intas Pharmaceuticals,1,94.0
Intellectual Capital HR Consulting Pvt. Ltd.,2,200.0
IntouchCX,1,172.0
Intuit,2,169.5
Intuitive Apps Inc.,2,95.5
JD Institute of Fashion Technology,1,51.0
JPMorgan Chase & Co.,1,200.0
JTS Group,1,132.0
JUSPAY,1,136.0
Jai Kisan,1,25.0
Jainytic,1,115.0
Jar,3,120.0
Jarvics Technologies,1,25.0
Jio Institute,1,193.0
Joveo,1,200.0
Jupiter Business Services Pvt. Ltd.,1,200.0
K-RY Tech Advisory,1,25.0
KPMG India,1,171.0
Kaleidoscope,1,25.0
Keka HR,1,25.0
Kinara Capital,1,43.0
Kingsmen India,1,25.0
Known-You Seed,1,200.0
Kodo,1,200.0
Kolkata Sutra,1,25.0
Konnect Insights,2,197.5
Kotak Life,3,103.66666666666667
Kotak Mahindra Bank,1,200.0
Kratikal,1,56.0
Kroll,1,96.0
Krome Dispense,2,28.5
Kudzu Infotech,3,25.0
L'Oréal,1,200.0
LMDmax Corp,1,195.0
LTIMindtree,9,148.44444444444446
LakshHR,1,200.0
Landmark Group,1,140.0
Larsen & Toubro,1,200.0
Lennox,1,199.0
Lenskart.com,1,200.0
Liangtuang Technologies,1,200.0
Liger Mobility,1,200.0
Light Up Beauty,1,79.0
Lil Pinwheel,1,25.0
LimeLitt,1,169.0
LinkedIn,6,200.0
Liqvd.Asia,1,105.0
Livspace,1,200.0
Lollypop Design Studio,1,71.0
Loop Subscriptions,1,200.0
Lords Hotels & Resorts,1,39.0
MANAGEMENT CAREERS,1,25.0
MODIFI,1,200.0
Magicbricks,1,200.0
Mahe Technologies Private Limited,4,44.25
Mahindra Group,1,25.0
MakeMyTrip,3,173.0
Mamaearth,1,118.0
Mantell Associates,1,200.0
Manvik Enterprises,1,48.0
Marcamor Consulting,1,31.0
Marquee Equity,3,200.0
