sector,Total_Jobs
Unknown,89
IT Services and IT Consulting,82
Software Development,74
Staffing and Recruiting,47
"Technology, Information and Internet",42
Financial Services,42
"Appliances, Electrical, and Electronics Manufacturing",28
Information Technology & Services,19
Manufacturing,19
Human Resources Services,19
Consumer Services,16
Advertising Services,15
"Transportation, Logistics, Supply Chain and Storage",14
"Information Services and Technology, Information and Internet",12
Retail,12
"IT Services and IT Consulting, Software Development, and Technology, Information and Internet",11
Internet Publishing,11
Motor Vehicle Parts Manufacturing,10
Business Consulting and Services,10
Banking,9
Pharmaceutical Manufacturing,9
Education Administration Programs,8
Information Services,8
"IT Services and IT Consulting and Technology, Information and Internet",7
Banking and Financial Services,6
Hospitality,6
Motor Vehicle Manufacturing,5
Computer Hardware Manufacturing,5
"Higher Education, E-Learning Providers, and Education",5
Food and Beverage Services and Manufacturing,5
Community Services,5
Real Estate,5
IT Services and IT Consulting and Motor Vehicle Manufacturing,5
Travel Arrangements,5
Events Services,4
"Banking, Financial Services, and Accounting",4
Market Research,4
"Technology, Information and Media",4
Telecommunications,4
IT Services and IT Consulting and Software Development,4
Outsourcing and Offshoring Consulting,4
Marketing Services,4
Mechanical Or Industrial Engineering,3
Online Audio and Video Media,3
Insurance,3
Industrial Machinery Manufacturing,3
Medical Equipment Manufacturing,3
"Software Development, Technology, Information and Internet, and Data Infrastructure and Analytics",3
Non-profit Organizations,3
Broadcast Media Production and Distribution,3
Automation Machinery Manufacturing,3
Food and Beverage Services and Food and Beverage Manufacturing,3
E-Learning Providers,3
Design Services,3
Data Infrastructure and Analytics,3
Hospitals and Health Care,3
Human Resources,3
Retail Apparel and Fashion,3
Retail Luxury Goods and Jewelry,3
"Venture Capital and Private Equity Principals, Financial Services, and Investment Banking",2
Investment Banking,2
"IT Services and IT Consulting, Information Services, and Technology, Information and Media",2
"IT Services and IT Consulting, Human Resources Services, and Business Consulting and Services",2
Personal Care Product Manufacturing,2
Retail Apparel and Fashion and Retail,2
Semiconductor Manufacturing,2
"Software Development, Technology, Information and Internet, and Technology, Information and Media",2
Spectator Sports and Entertainment Providers,2
IT Services and IT Consulting and Business Consulting and Services,2
Defense and Space Manufacturing,2
"Construction, Civil Engineering, and Design Services",2
Higher Education,2
Wholesale Building Materials,2
Advertising Services and Marketing Services,2
"Advertising Services, Media Production, and Events Services",2
Accounting,2
"Food and Beverage Services, Manufacturing, and Beverage Manufacturing",2
Food and Beverage Services,2
Graphic Design,2
"Health, Wellness & Fitness",2
Food and Beverage Manufacturing,2
Entertainment Providers,2
Banking and Insurance,2
Dairy Product Manufacturing and Food and Beverage Services,2
Software Development and Medical Practices,2
Wellness and Fitness Services,2
"Advertising Services, Broadcast Media Production and Distribution, and Technology, Information and Media",1
"Appliances, Electrical, and Electronics Manufacturing and Semiconductor Manufacturing",1
Building Construction and Manufacturing,1
Blockchain Services,1
Biotechnology Research,1
Biotechnology,1
"Banking, Human Resources Services, and Airlines and Aviation",1
Broadcast Media Production and Distribution and Wholesale Petroleum and Petroleum Products,1
"Book and Periodical Publishing, Technology, Information and Media, and Media and Telecommunications",1
Book and Periodical Publishing,1
Biotechnology Research and Pharmaceutical Manufacturing,1
Automation Machinery Manufacturing and Oil and Gas,1
Aviation and Aerospace Component Manufacturing,1
"Aviation and Aerospace Component Manufacturing, Banking, and Airlines and Aviation",1
IT Services and IT Consulting and Human Resources Services,1
"Higher Education, Education Administration Programs, and Professional Training and Coaching",1
"Fundraising, Financial Services, and Investment Banking",1
Higher Education and Education Administration Programs,1
HVAC and Refrigeration Equipment Manufacturing,1
"Furniture and Home Furnishings Manufacturing, Retail, and Textile Manufacturing",1
"Food and Beverage Services, Retail Apparel and Fashion, and Retail",1
Fundraising and Hospitals and Health Care,1
"Financial Services, Hospitals and Health Care, and Pharmaceutical Manufacturing",1
Financial Services and Business Consulting and Services,1
Engineering Services,1
Executive Offices,1
"Food and Beverage Manufacturing, Manufacturing, and Beverage Manufacturing",1
"Food and Beverage Services, Food and Beverage Manufacturing, and Manufacturing",1
"Business Consulting and Services, Real Estate, and Investment Banking",1
Business Supplies & Equipment,1
Computer Games,1
Commercial Real Estate,1
Civil Engineering and Business Consulting and Services,1
"Civil Engineering, Chemical Manufacturing, and Executive Offices",1
Chemical Raw Materials Manufacturing and Chemical Manufacturing,1
"Chemical Manufacturing, Oil and Gas, and Engineering Services",1
Chemical Manufacturing and Manufacturing,1
"Chemical Manufacturing, Biotechnology Research, and Pharmaceutical Manufacturing",1
"Consumer Services, Retail, and Textile Manufacturing",1
"Construction, Civil Engineering, and Environmental Services",1
Construction and Civil Engineering,1
"Construction, Building Construction, and Industrial Machinery Manufacturing",1
Construction,1
Computer and Network Security,1
"Defense and Space Manufacturing, Aviation and Aerospace Component Manufacturing, and Airlines and Aviation",1
Education,1
"Building Construction, Industrial Machinery Manufacturing, and Manufacturing",1
"Capital Markets, Investment Advice, and Financial Services",1
Chemical Manufacturing,1
Automation Machinery Manufacturing and Engineering Services,1
"Appliances, Electrical, and Electronics Manufacturing, Food and Beverage Services, and Consumer Services",1
"Banking, Financial Services, and Investment Banking",1
"Banking, Insurance, and Investment Banking",1
Administrative and Support Services,1
"Appliances, Electrical, and Electronics Manufacturing, Aviation and Aerospace Component Manufacturing, and Airlines and Aviation",1
"Appliances, Electrical, and Electronics Manufacturing, Computers and Electronics Manufacturing, and Manufacturing",1
"Appliances, Electrical, and Electronics Manufacturing, Electrical Equipment Manufacturing, and Fire Protection",1
"Advertising Services, Online Audio and Video Media, and Technology, Information and Internet",1
Animation,1
Apparel & Fashion,1
"IT Services and IT Consulting, Software Development, and IT System Custom Software Development",1
"IT Services and IT Consulting, Software Development, and Internet Marketplace Platforms",1
"Information Services, Real Estate, and Hospitality",1
"Information Services, Software Development, and Technology, Information and Internet",1
Information Services and Software Development,1
"Information Services, Financial Services, and Investment Banking",1
"IT Services and IT Consulting, Staffing and Recruiting, and Human Resources Services",1
"IT Services and IT Consulting, Telecommunications, and Financial Services",1
"IT Services and IT Consulting, Transportation, Logistics, Supply Chain and Storage, and IT System Custom Software Development",1
IT System Custom Software Development,1
"IT Services and IT Consulting, Software Development, and Computer Networking Products",1
"IT Services and IT Consulting, Software Development, and Business Consulting and Services",1
"IT Services and IT Consulting, Retail, and Business Consulting and Services",1
"IT Services and IT Consulting, Manufacturing, and Financial Services",1
"IT Services and IT Consulting, Information Services, and Business Consulting and Services",1
"IT Services and IT Consulting, Automation Machinery Manufacturing, and Motor Vehicle Manufacturing",1
"IT Services and IT Consulting, IT System Training and Support, and IT System Data Services",1
"IT Services and IT Consulting, Food and Beverage Services, and Data Infrastructure and Analytics",1
Personal Care Product Manufacturing and Manufacturing,1
Outsourcing and Offshoring Consulting and Business Consulting and Services,1
Oil and Gas,1
"Oil, Gas, and Mining, Boilers, Tanks, and Shipping Container Manufacturing, and Maritime Transportation",1
"Non-profit Organizations, Marketing Services, and Financial Services",1
Media and Telecommunications,1
"Motor Vehicle Parts Manufacturing, Automation Machinery Manufacturing, and Motor Vehicle Manufacturing",1
"Nanotechnology Research, Semiconductor Manufacturing, and Manufacturing",1
Media Production,1
"Internet Marketplace Platforms, Travel Arrangements, and Airlines and Aviation",1
Internet Marketplace Platforms and Telecommunications,1
"Internet Marketplace Platforms, Technology, Information and Media, and Computer Games",1
"Manufacturing, Oil and Gas, and Services for Renewable Energy",1
Manufacturing and Oil and Gas,1
Investment Management,1
Marketing Services and Internet Publishing,1
Internet Marketplace Platforms,1
"Interior Design, Furniture and Home Furnishings Manufacturing, and Real Estate",1
"Investment Advice, Investment Banking, and Investment Management",1
"IT Services and IT Consulting, Research Services, and Financial Services",1
"IT Services and IT Consulting, Outsourcing and Offshoring Consulting, and Business Consulting and Services",1
"IT Services and IT Consulting, Marketing Services, and Business Consulting and Services",1
Research Services and Financial Services,1
Research Services,1
"Retail Apparel and Fashion, Internet Marketplace Platforms, and Retail Luxury Goods and Jewelry",1
Public Relations and Communications Services,1
Professional Training and Coaching and Human Resources Services,1
Renewable Energy Semiconductor Manufacturing,1
Railroad Equipment Manufacturing,1
Professional Training and Coaching,1
Plastics Manufacturing,1
Photography,1
Software Development and Oil and Gas,1
Software Development and Financial Services,1
Software Development and Consumer Services,1
Semiconductor Manufacturing and Manufacturing,1
Security and Investigations,1
"Retail Groceries, Food and Beverage Retail, and Retail",1
Retail and Accounting,1
Retail and Retail Luxury Goods and Jewelry,1
"Retail Apparel and Fashion, Retail, and Retail Luxury Goods and Jewelry",1
Retail Building Materials and Garden Equipment,1
"Retail Apparel and Fashion, Manufacturing, and Textile Manufacturing",1
Retail Groceries,1
"Restaurants, Food and Beverage Services, and Retail",1
"Software Development and Technology, Information and Internet",1
"Software Development, Technology, Information and Internet, and IT System Custom Software Development",1
"Software Development, Financial Services, and Investment Banking",1
Telecommunications and Financial Services,1
Telecommunications and Banking,1
"Staffing and Recruiting, Financial Services, and International Trade and Development",1
"Technology, Information and Internet and Manufacturing",1
Staffing and Recruiting and Business Consulting and Services,1
"Software Development, Broadcast Media Production and Distribution, and Entertainment Providers",1
Textile Manufacturing,1
"Telecommunications, Financial Services, and Real Estate",1
Truck Transportation,1
"Transportation, Logistics, Supply Chain and Storage, Manufacturing, and Retail",1
"Transportation, Logistics, Supply Chain and Storage, Freight and Package Transportation, and Airlines and Aviation",1
"Transportation, Logistics, Supply Chain and Storage and Truck Transportation",1
Venture Capital and Private Equity Principals and Financial Services,1
Wholesale Building Materials and Building Construction,1
"Wholesale Building Materials, Furniture and Home Furnishings Manufacturing, and Retail Building Materials and Garden Equipment",1
"Wholesale Building Materials, Manufacturing, and Retail Building Materials and Garden Equipment",1
